cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,label
5,8,3,5,1,2,0,0,0,0.0,,,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,17,1,0,1
3,3,0,3,48,1,0,5,861,0.8372093,0.0,0.0,43,0,39,0,4,0,43,0,0,0,1,0,0,0,1,0,0,0,0,178,39,0,4,0,0,71,1,1,2,1,1,0,0,0,39,1036,0,1
1,2,1,1,5,1,0,5,10,0.8,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,18,1,0,0,0,0,0,0,1,0,1,0,0,0,0,20,1,0,1
4,6,2,4,5,1,0,13,0,0.5,0.0,0.0,4,0,3,1,0,0,3,0,0,0,5,0,0,0,0,5,0,0,0,32,0,0,0,0,0,2,0,5,0,6,1,0,0,1,51,1,3,1
3,5,2,3,5,2,0,5,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,26,3,0,0,0,0,1,0,7,0,7,0,0,0,0,45,1,0,1
4,10,6,4,1,1,0,0,0,0.0,,,1,0,0,0,0,1,1,0,0,0,5,0,0,2,0,3,1,0,0,15,0,0,0,0,0,0,0,5,0,5,0,0,1,0,32,1,0,1
3,3,0,3,8,1,0,12,0,0.525,0.0,0.0,8,0,0,0,0,8,8,0,0,0,5,4,0,5,0,0,4,0,1,43,0,0,0,0,0,3,5,11,0,11,0,0,0,0,48,0,0,1
0,1,1,0,1,1,0,0,0,0.0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0
4,4,0,4,1,1,0,6,0,0.0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,7,4,0,4,0,0,0,0,16,0,0,0
2,5,3,2,1,1,0,4,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,2,0,1,1,1,0,0,0,0,27,1,1,0
1,1,0,1,1,2,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
10,14,4,10,13,2,0,10,0,0.6666667,0.0,0.0,10,0,10,0,0,0,10,0,0,0,3,2,0,3,0,0,2,0,2,66,9,0,0,3,0,13,0,11,1,11,1,0,0,0,79,1,3,1
7,8,1,7,4,1,0,13,1,0.5,0.0,0.0,2,2,1,1,0,0,2,0,0,0,2,2,0,2,0,0,2,0,3,21,1,1,0,0,0,117,1,8,0,9,1,0,0,1,47,1,0,1
3,6,3,3,12,2,0,4,13,0.6363637,0.0,0.0,11,0,10,0,1,0,11,0,0,0,3,0,0,0,3,0,0,0,0,344,6,0,1,0,0,0,1,8,0,6,1,0,3,0,24,1,0,1
0,1,1,0,15,1,0,8,63,0.8166667,0.0,0.0,15,0,15,0,0,0,15,0,0,0,8,1,0,8,0,0,1,0,0,68,8,0,0,0,0,11,1,9,0,9,0,0,0,0,39,1,0,1
3,3,0,3,2,2,0,3,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
3,6,3,3,12,2,0,4,13,0.6363637,0.0,0.0,11,0,10,0,1,0,11,0,0,0,3,0,0,0,3,0,0,0,0,400,6,0,1,0,0,0,1,8,0,6,1,0,3,0,23,1,0,1
4,4,0,4,2,1,0,4,1,0.5,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,1,0,0,23,0,0,0,0,0,0,0,4,0,4,0,0,1,0,18,0,0,0
9,13,4,9,3,1,0,4,1,0.5555556,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,1,14,1,0,0,0,0,1,0,0,0,3,0,0,0,0,14,1,0,1
0,0,0,0,14,1,0,0,22,0.75,0.0,0.0,13,0,8,0,5,0,13,0,0,0,8,0,0,8,0,0,0,0,0,66,8,0,0,0,0,0,0,13,0,8,1,0,0,0,23,9,0,1
